Fecha	Precio Venta ARS
3/6/2024	1235
31/5/2024	1225
29/5/2024	1230
27/5/2024	1205
24/5/2024	1220
22/5/2024	1275
20/5/2024	1175
17/5/2024	1120
15/5/2024	1100
14/5/2024	1065
10/5/2024	1040
8/5/2024	1040
6/5/2024	1040
3/5/2024	1040
30/4/2024	1040
29/4/2024	1050
26/4/2024	1055
24/4/2024	1035
22/4/2024	1025
19/4/2024	1015
17/4/2024	1010
15/4/2024	1005
12/4/2024	1005
11/4/2024	1005
10/4/2024	1000
9/4/2024	995
8/4/2024	985
5/4/2024	985
4/4/2024	1000
3/4/2024	1005
2/4/2024	1007
1/4/2024	1010
27/3/2024	1015
26/3/2024	1015
25/3/2024	1020
22/3/2024	1020
21/3/2024	1030
20/3/2024	1030
19/3/2024	1035
18/3/2024	1040
15/3/2024	1045
14/3/2024	1040
13/3/2024	1035
12/3/2024	1020
11/3/2024	1005
8/3/2024	995
7/3/2024	985
6/3/2024	990
5/3/2024	1010
4/3/2024	1015
1/3/2024	1045
29/2/2024	1030
28/2/2024	1045
27/2/2024	1070
26/2/2024	1080
23/2/2024	1085
22/2/2024	1085
21/2/2024	1115
20/2/2024	1115
19/2/2024	1110
16/2/2024	1095
15/2/2024	1060
14/2/2024	1105
13/2/2024	1145
12/2/2024	1145
9/2/2024	1145
8/2/2024	1145
7/2/2024	1145
6/2/2024	1145
5/2/2024	1170
2/2/2024	1180
1/2/2024	1195
31/1/2024	1195
30/1/2024	1215
29/1/2024	1225
26/1/2024	1220
25/1/2024	1255
24/1/2024	1255
23/1/2024	1240
22/1/2024	1235
19/1/2024	1225
18/1/2024	1225
17/1/2024	1230
16/1/2024	1160
15/1/2024	1135
12/1/2024	1120
11/1/2024	1120
10/1/2024	1150
9/1/2024	1120
8/1/2024	1050
5/1/2024	1025
4/1/2024	1020
3/1/2024	1005
2/1/2024	1005
1/1/2024	1005
29/12/2023	1015
28/12/2023	1000
27/12/2023	1000
26/12/2023	985
25/12/2023	985
22/12/2023	980
21/12/2023	975
20/12/2023	985
19/12/2023	995
18/12/2023	985
15/12/2023	970
14/12/2023	995
13/12/2023	1070
12/12/2023	1005
11/12/2023	1000
8/12/2023	990
7/12/2023	1000
6/12/2023	930
5/12/2023	910
4/12/2023	930
1/12/2023	955
30/11/2023	895
29/11/2023	930
28/11/2023	975
27/11/2023	995
24/11/2023	995
23/11/2023	1055
22/11/2023	1080
21/11/2023	1060
20/11/2023	1000
16/11/2023	1003
15/11/2023	1000
14/11/2023	925
13/11/2023	925
10/11/2023	960
9/11/2023	950
8/11/2023	890
7/11/2023	890
6/11/2023	925
3/11/2023	920
2/11/2023	900
1/11/2023	915
31/10/2023	920
